"","Length","ACUK","WGGA","GAC","GACR","GACARG","QFM","ACUK.freq","WGGA.freq","GAC.freq","GACR.freq","GACARG.freq","QFM.freq"
"Cab39",1026,11,11,25,19,2,1,10.72,10.72,24.37,18.52,1.95,0.97
"Cables1",1785,9,29,35,14,1,1,5.04,16.25,19.61,7.84,0.56,0.56
"Cabp1",1053,6,14,24,15,1,0,5.7,13.3,22.79,14.25,0.95,0
"Cacna1i",6600,61,117,110,52,4,1,9.24,17.73,16.67,7.88,0.61,0.15
"Cacnb1",2034,12,35,44,21,1,2,5.9,17.21,21.63,10.32,0.49,0.98
"Cacnb2",1968,11,32,31,17,2,2,5.59,16.26,15.75,8.64,1.02,1.02
"Cacnb3",1455,15,30,34,10,0,1,10.31,20.62,23.37,6.87,0,0.69
"Cacng7",828,8,5,16,6,0,0,9.66,6.04,19.32,7.25,0,0
"Cacng8",1272,7,9,17,5,0,0,5.5,7.08,13.36,3.93,0,0
"Cacul1",1134,9,13,13,7,0,1,7.94,11.46,11.46,6.17,0,0.88
"Cadm1",1425,17,18,31,20,0,2,11.93,12.63,21.75,14.04,0,1.4
"Cadm4",1167,4,20,21,15,1,0,3.43,17.14,17.99,12.85,0.86,0
"Cadps2",3915,34,72,57,29,2,2,8.68,18.39,14.56,7.41,0.51,0.51
"Cadps2.1",3915,34,72,57,29,2,2,8.68,18.39,14.56,7.41,0.51,0.51
"Calm1",594,7,7,15,7,2,0,11.78,11.78,25.25,11.78,3.37,0
"Calm3",450,5,14,15,8,2,1,11.11,31.11,33.33,17.78,4.44,2.22
"Calr",1251,9,33,30,17,4,1,7.19,26.38,23.98,13.59,3.2,0.8
"Caly",681,8,14,13,4,0,4,11.75,20.56,19.09,5.87,0,5.87
"Camk1",1125,9,26,20,7,1,1,8,23.11,17.78,6.22,0.89,0.89
"Camk2a",1470,12,27,24,11,1,2,8.16,18.37,16.33,7.48,0.68,1.36
"Camk2n1",237,1,2,7,6,1,0,4.22,8.44,29.54,25.32,4.22,0
"Camkk1",1518,11,31,28,11,3,1,7.25,20.42,18.45,7.25,1.98,0.66
"Camkv",1539,14,26,30,14,3,1,9.1,16.89,19.49,9.1,1.95,0.65
"Camsap1",4749,34,90,70,26,3,3,7.16,18.95,14.74,5.47,0.63,0.63
"Camsap2",4437,45,75,74,35,2,2,10.14,16.9,16.68,7.89,0.45,0.45
"Camta2",3627,23,61,47,23,3,1,6.34,16.82,12.96,6.34,0.83,0.28
"Cand1",3693,36,49,70,35,2,3,9.75,13.27,18.95,9.48,0.54,0.81
"Cant1",1323,8,20,28,11,2,1,6.05,15.12,21.16,8.31,1.51,0.76
"Cap1",1425,13,25,19,12,0,0,9.12,17.54,13.33,8.42,0,0
"Cap2",1431,7,25,23,15,2,2,4.89,17.47,16.07,10.48,1.4,1.4
"Capns1",807,8,12,12,7,0,1,9.91,14.87,14.87,8.67,0,1.24
"Caprin1",2124,13,38,19,6,2,1,6.12,17.89,8.95,2.82,0.94,0.47
"Capzb",906,7,19,21,8,1,0,7.73,20.97,23.18,8.83,1.1,0
"Car10",987,11,15,13,7,1,2,11.14,15.2,13.17,7.09,1.01,2.03
"Car11",987,8,10,13,3,1,0,8.11,10.13,13.17,3.04,1.01,0
"Car2",783,17,17,17,5,0,1,21.71,21.71,21.71,6.39,0,1.28
"Carmil1",4125,20,85,58,25,3,5,4.85,20.61,14.06,6.06,0.73,1.21
"Casc4",1308,7,25,19,12,3,1,5.35,19.11,14.53,9.17,2.29,0.76
"Casd1",2394,19,32,20,6,2,0,7.94,13.37,8.35,2.51,0.84,0
"Cask",2763,31,48,38,20,0,1,11.22,17.37,13.75,7.24,0,0.36
"Cbarp",2118,12,29,45,23,2,1,5.67,13.69,21.25,10.86,0.94,0.47
"Cbl",2742,20,35,40,21,4,1,7.29,12.76,14.59,7.66,1.46,0.36
"Cbln2",675,4,3,8,3,0,0,5.93,4.44,11.85,4.44,0,0
"Cbx4",1656,6,26,26,9,2,2,3.62,15.7,15.7,5.43,1.21,1.21
"Ccar2",2769,35,50,48,27,0,1,12.64,18.06,17.33,9.75,0,0.36
"Ccdc136",3564,29,96,43,20,4,2,8.14,26.94,12.07,5.61,1.12,0.56
"Ccdc149",1575,20,44,28,12,1,2,12.7,27.94,17.78,7.62,0.63,1.27
"Ccdc32",540,1,10,8,3,1,1,1.85,18.52,14.81,5.56,1.85,1.85
"Ccdc85b",609,3,16,9,3,0,1,4.93,26.27,14.78,4.93,0,1.64
"Ccdc91",1329,11,43,16,8,0,2,8.28,32.36,12.04,6.02,0,1.5
"Cck",405,2,6,7,2,0,1,4.94,14.81,17.28,4.94,0,2.47
"Ccm2",1362,9,20,33,16,1,1,6.61,14.68,24.23,11.75,0.73,0.73
"Ccnd2",870,6,19,18,4,0,0,6.9,21.84,20.69,4.6,0,0
"Ccng1",885,18,15,16,6,0,1,20.34,16.95,18.08,6.78,0,1.13
"Ccni",1134,8,20,9,5,0,0,7.05,17.64,7.94,4.41,0,0
"Ccny",1026,4,18,21,15,1,1,3.9,17.54,20.47,14.62,0.97,0.97
"Ccp110",3015,39,52,41,21,4,2,12.94,17.25,13.6,6.97,1.33,0.66
"Ccsap",759,2,13,17,15,1,1,2.64,17.13,22.4,19.76,1.32,1.32
"Ccser2",3117,19,50,56,26,4,2,6.1,16.04,17.97,8.34,1.28,0.64
"Cct2",1608,15,28,25,14,1,1,9.33,17.41,15.55,8.71,0.62,0.62
"Cct4",1620,13,23,22,11,1,1,8.02,14.2,13.58,6.79,0.62,0.62
"Cct5",1626,11,30,30,15,5,1,6.77,18.45,18.45,9.23,3.08,0.62
"Cct8",1647,17,22,23,12,0,0,10.32,13.36,13.96,7.29,0,0
"Cd200",837,7,16,12,4,2,1,8.36,19.12,14.34,4.78,2.39,1.19
"Cd2bp2",1029,9,32,22,9,0,3,8.75,31.1,21.38,8.75,0,2.92
"Cd81",711,8,8,8,2,0,0,11.25,11.25,11.25,2.81,0,0
"Cd99l2",714,5,17,12,6,2,1,7,23.81,16.81,8.4,2.8,1.4
"Cdc16",1863,22,32,33,17,1,0,11.81,17.18,17.71,9.13,0.54,0
"Cdc23",1794,15,28,23,14,1,1,8.36,15.61,12.82,7.8,0.56,0.56
"Cdc34",708,4,15,21,12,1,1,5.65,21.19,29.66,16.95,1.41,1.41
"Cdc37",1140,6,38,21,10,0,1,5.26,33.33,18.42,8.77,0,0.88
"Cdc42",576,6,5,11,4,0,0,10.42,8.68,19.1,6.94,0,0
"Cdc42.1",576,6,5,11,4,0,0,10.42,8.68,19.1,6.94,0,0
"Cdc42bpa",5247,56,87,80,36,3,1,10.67,16.58,15.25,6.86,0.57,0.19
"Cdc42bpb",5142,35,101,100,53,10,4,6.81,19.64,19.45,10.31,1.94,0.78
"Cdc42se1",243,3,4,7,3,1,0,12.35,16.46,28.81,12.35,4.12,0
"Cdc42se2",255,2,5,5,3,0,0,7.84,19.61,19.61,11.76,0,0
"Cdh10",2367,20,41,45,25,1,1,8.45,17.32,19.01,10.56,0.42,0.42
"Cdh13",2145,16,39,61,30,3,0,7.46,18.18,28.44,13.99,1.4,0
"Cdh2",2721,32,43,67,32,2,1,11.76,15.8,24.62,11.76,0.74,0.37
"Cdh22",2442,13,34,71,45,2,1,5.32,13.92,29.07,18.43,0.82,0.41
"Cdh8",2400,25,48,53,26,0,2,10.42,20,22.08,10.83,0,0.83
"Cdip1",627,7,6,7,4,0,1,11.16,9.57,11.16,6.38,0,1.59
"Cdipt",681,3,5,10,5,0,0,4.41,7.34,14.68,7.34,0,0
"Cdk10",1083,9,15,15,7,1,2,8.31,13.85,13.85,6.46,0.92,1.85
"Cdk13",4536,27,76,64,35,4,3,5.95,16.75,14.11,7.72,0.88,0.66
"Cdk14",1410,12,23,22,11,3,0,8.51,16.31,15.6,7.8,2.13,0
"Cdk16",1491,20,23,27,13,2,2,13.41,15.43,18.11,8.72,1.34,1.34
"Cdk2ap1",345,2,2,5,1,0,0,5.8,5.8,14.49,2.9,0,0
"Cdk5",879,8,11,19,7,1,0,9.1,12.51,21.62,7.96,1.14,0
"Cdk5r1",924,4,10,13,3,2,1,4.33,10.82,14.07,3.25,2.16,1.08
"Cdk5r2",1110,5,8,19,8,1,0,4.5,7.21,17.12,7.21,0.9,0
"Cdkl5",2883,21,45,49,21,1,1,7.28,15.61,17,7.28,0.35,0.35
"Cds1",1386,13,19,20,12,3,0,9.38,13.71,14.43,8.66,2.16,0
"Cdv3",846,3,15,11,9,1,1,3.55,17.73,13,10.64,1.18,1.18
"Celf4",1515,5,15,23,13,3,2,3.3,9.9,15.18,8.58,1.98,1.32
"Celf5",1188,6,11,22,11,0,0,5.05,9.26,18.52,9.26,0,0
"Celsr2",8760,62,114,155,70,7,2,7.08,13.01,17.69,7.99,0.8,0.23
"Cend1",450,3,7,5,3,0,1,6.67,15.56,11.11,6.67,0,2.22
"Cenpb",1800,12,63,25,10,1,3,6.67,35,13.89,5.56,0.56,1.67
"Cep170",4767,47,76,68,38,6,3,9.86,15.94,14.26,7.97,1.26,0.63
"Cep170b",4725,38,69,109,43,3,2,8.04,14.6,23.07,9.1,0.63,0.42
"Cep19",492,4,14,9,5,1,0,8.13,28.46,18.29,10.16,2.03,0
"Cfl1",684,4,17,14,5,3,1,5.85,24.85,20.47,7.31,4.39,1.46
"Cggbp1",504,4,9,6,0,0,0,7.94,17.86,11.9,0,0,0
"Chd3",6168,40,147,101,55,6,3,6.49,23.83,16.37,8.92,0.97,0.49
"Chga",1392,4,46,28,15,2,2,2.87,33.05,20.11,10.78,1.44,1.44
"Chgb",2034,9,60,36,16,1,5,4.42,29.5,17.7,7.87,0.49,2.46
"Chid1",1191,14,18,20,8,0,0,11.75,15.11,16.79,6.72,0,0
"Chmp1a",591,1,17,14,6,2,1,1.69,28.76,23.69,10.15,3.38,1.69
"Chmp2a",669,5,13,13,7,1,0,7.47,19.43,19.43,10.46,1.49,0
"Chmp3",675,1,17,4,2,1,0,1.48,25.19,5.93,2.96,1.48,0
"Chmp4b",675,3,21,11,9,1,0,4.44,31.11,16.3,13.33,1.48,0
"Chmp7",1356,11,38,22,10,0,1,8.11,28.02,16.22,7.37,0,0.74
"Chp1",588,6,14,11,4,2,0,10.2,23.81,18.71,6.8,3.4,0
"Chpf",2325,23,26,35,13,0,1,9.89,11.18,15.05,5.59,0,0.43
"Chpf2",2307,22,35,38,13,1,2,9.54,15.17,16.47,5.64,0.43,0.87
"Chrm1",1383,14,12,18,8,2,1,10.12,8.68,13.02,5.78,1.45,0.72
"Chrm3",1770,14,21,37,17,4,1,7.91,11.86,20.9,9.6,2.26,0.56
"Chst1",1236,13,19,21,6,0,1,10.52,15.37,16.99,4.85,0,0.81
"Chst10",1125,6,16,19,7,1,2,5.33,14.22,16.89,6.22,0.89,1.78
"Chst15",1686,19,30,35,11,1,0,11.27,17.79,20.76,6.52,0.59,0
"Chst2",1593,7,20,23,9,1,2,4.39,12.55,14.44,5.65,0.63,1.26
"Chtf8",1602,11,25,27,6,2,1,6.87,15.61,16.85,3.75,1.25,0.62
"Chtop",750,2,15,10,5,0,1,2.67,20,13.33,6.67,0,1.33
"Ciao1",1020,8,18,16,6,1,0,7.84,17.65,15.69,5.88,0.98,0
"Cic",7533,65,102,111,44,2,2,8.63,13.54,14.74,5.84,0.27,0.27
"Cinp",639,5,11,12,6,2,0,7.82,17.21,18.78,9.39,3.13,0
"Cipc",1299,11,14,24,10,2,0,8.47,10.78,18.48,7.7,1.54,0
"Ckap5",6099,56,104,73,40,4,4,9.18,17.05,11.97,6.56,0.66,0.66
"Ckb",1146,10,16,28,10,0,1,8.73,13.96,24.43,8.73,0,0.87
"Clasp1",4659,40,71,85,38,3,2,8.59,15.24,18.24,8.16,0.64,0.43
"Clasp2",3924,30,46,49,25,2,2,7.65,11.72,12.49,6.37,0.51,0.51
"Clcn3",2601,22,42,48,27,1,1,8.46,16.15,18.45,10.38,0.38,0.38
"Clcn6",2622,19,53,46,16,2,1,7.25,20.21,17.54,6.1,0.76,0.38
"Clcn7",2412,11,40,37,18,2,3,4.56,16.58,15.34,7.46,0.83,1.24
"Cldn11",624,6,6,6,3,0,0,9.62,9.62,9.62,4.81,0,0
"Cldn5",657,3,6,8,4,1,0,4.57,9.13,12.18,6.09,1.52,0
"Clec16a",3111,29,50,61,31,3,3,9.32,16.07,19.61,9.96,0.96,0.96
"Clec16a.1",3111,29,50,61,31,3,3,9.32,16.07,19.61,9.96,0.96,0.96
"Clec2l",636,7,12,9,4,0,0,11.01,18.87,14.15,6.29,0,0
"Clmn",3159,19,67,62,27,4,3,6.01,21.21,19.63,8.55,1.27,0.95
"Clock",2568,25,31,42,26,3,0,9.74,12.07,16.36,10.12,1.17,0
"Clptm1",1995,18,32,33,13,3,0,9.02,16.04,16.54,6.52,1.5,0
"Clptm1l",1620,13,19,20,7,2,0,8.02,11.73,12.35,4.32,1.23,0
"Clstn1",2940,17,67,63,27,0,2,5.78,22.79,21.43,9.18,0,0.68
"Clta",747,3,11,12,9,0,0,4.02,14.73,16.06,12.05,0,0
"Cltb",690,3,18,13,4,1,1,4.35,26.09,18.84,5.8,1.45,1.45
"Clu",1347,8,27,23,9,1,1,5.94,20.04,17.07,6.68,0.74,0.74
"Cmas",1299,8,20,19,12,1,1,6.16,15.4,14.63,9.24,0.77,0.77
"Cmip",2322,13,32,38,17,1,1,5.6,13.78,16.37,7.32,0.43,0.43
"Cnbp",537,8,9,8,4,1,1,14.9,16.76,14.9,7.45,1.86,1.86
"Cnih2",483,4,3,5,1,0,0,8.28,6.21,10.35,2.07,0,0
"Cnih3",564,5,6,6,3,0,0,8.87,10.64,10.64,5.32,0,0
"Cnnm1",2856,21,41,49,16,0,3,7.35,14.36,17.16,5.6,0,1.05
"Cnot1",7131,73,95,74,36,5,2,10.24,13.32,10.38,5.05,0.7,0.28
"Cnot7",858,13,17,14,3,0,2,15.15,19.81,16.32,3.5,0,2.33
"Cnot8",879,5,15,10,7,0,1,5.69,17.06,11.38,7.96,0,1.14
"Cnp",1263,10,21,26,12,1,2,7.92,16.63,20.59,9.5,0.79,1.58
"Cnpy3",831,7,24,19,6,0,3,8.42,28.88,22.86,7.22,0,3.61
"Cnst",2136,14,43,52,28,2,2,6.55,20.13,24.34,13.11,0.94,0.94
"Cntnap5a",3915,56,82,75,36,3,1,14.3,20.95,19.16,9.2,0.77,0.26
"Cobl",4014,30,63,63,30,5,1,7.47,15.7,15.7,7.47,1.25,0.25
"Cog3",2487,21,35,46,25,2,1,8.44,14.07,18.5,10.05,0.8,0.4
"Cog6",1974,16,27,35,18,5,1,8.11,13.68,17.73,9.12,2.53,0.51
"Cog7",2313,20,48,54,25,3,2,8.65,20.75,23.35,10.81,1.3,0.86
"Col25a1",2001,6,63,41,12,1,2,3,31.48,20.49,6,0.5,1
"Copa",3702,33,51,52,30,4,1,8.91,13.78,14.05,8.1,1.08,0.27
"Copb2",2718,27,50,38,21,4,0,9.93,18.4,13.98,7.73,1.47,0
"Cope",927,8,16,16,10,3,0,8.63,17.26,17.26,10.79,3.24,0
"Copg1",2625,21,38,47,22,5,2,8,14.48,17.9,8.38,1.9,0.76
"Copg2",2616,25,36,29,10,2,0,9.56,13.76,11.09,3.82,0.76,0
"Cops2",1353,19,24,18,9,0,1,14.04,17.74,13.3,6.65,0,0.74
"Cops3",1272,11,20,15,5,1,0,8.65,15.72,11.79,3.93,0.79,0
"Cops4",1221,8,23,19,15,2,2,6.55,18.84,15.56,12.29,1.64,1.64
"Cops7a",834,7,9,14,6,1,0,8.39,10.79,16.79,7.19,1.2,0
"Cops8",630,5,17,7,4,0,0,7.94,26.98,11.11,6.35,0,0
"Coq8a",1938,21,29,28,8,3,1,10.84,14.96,14.45,4.13,1.55,0.52
"Coro1a",1386,11,27,30,19,3,2,7.94,19.48,21.65,13.71,2.16,1.44
"Cpd",4134,41,55,55,24,3,3,9.92,13.3,13.3,5.81,0.73,0.73
"Cpe",1431,13,26,27,14,1,2,9.08,18.17,18.87,9.78,0.7,1.4
"Cplx1",405,3,17,7,4,1,1,7.41,41.98,17.28,9.88,2.47,2.47
"Cpne4",1674,15,22,39,20,1,2,8.96,13.14,23.3,11.95,0.6,1.19
"Cpne5",1782,15,27,33,17,3,0,8.42,15.15,18.52,9.54,1.68,0
"Cpne6",1674,18,22,36,13,1,2,10.75,13.14,21.51,7.77,0.6,1.19
"Cpsf2",2349,24,52,50,25,0,0,10.22,22.14,21.29,10.64,0,0
"Creb3",1212,16,25,11,4,0,1,13.2,20.63,9.08,3.3,0,0.83
"Creg2",867,4,14,12,5,0,1,4.61,16.15,13.84,5.77,0,1.15
"Creld1",1263,15,21,20,7,1,1,11.88,16.63,15.84,5.54,0.79,0.79
"Crim1",3114,26,42,43,19,1,1,8.35,13.49,13.81,6.1,0.32,0.32
"Crip2",627,10,8,15,3,2,0,15.95,12.76,23.92,4.78,3.19,0
"Crmp1",2061,16,28,41,16,1,2,7.76,13.59,19.89,7.76,0.49,0.97
"Cry2",1779,13,32,38,16,2,2,7.31,17.99,21.36,8.99,1.12,1.12
"Crym",942,6,19,9,5,1,2,6.37,20.17,9.55,5.31,1.06,2.12
"Cse1l",2916,29,44,27,15,3,1,9.95,15.09,9.26,5.14,1.03,0.34
"Csnk1d",1248,9,10,17,7,1,0,7.21,8.01,13.62,5.61,0.8,0
"Csnk1e",1251,11,10,22,6,1,1,8.79,7.99,17.59,4.8,0.8,0.8
"Csnk1g2",1329,11,21,31,14,3,1,8.28,15.8,23.33,10.53,2.26,0.75
"Csnk1g3",1275,12,27,17,9,1,0,9.41,21.18,13.33,7.06,0.78,0
"Csnk2a1",1176,9,13,19,8,2,0,7.65,11.05,16.16,6.8,1.7,0
"Csnk2b",774,9,11,16,9,1,1,11.63,14.21,20.67,11.63,1.29,1.29
"Cspg5",1710,14,30,29,10,1,1,8.19,17.54,16.96,5.85,0.58,0.58
"Csrnp2",1605,14,35,32,14,1,1,8.72,21.81,19.94,8.72,0.62,0.62
"Csrnp3",1794,15,38,26,18,1,2,8.36,21.18,14.49,10.03,0.56,1.11
"Csrp1",582,4,10,7,6,3,1,6.87,17.18,12.03,10.31,5.15,1.72
"Cstf2t",1899,12,50,33,7,1,1,6.32,26.33,17.38,3.69,0.53,0.53
"Ctbp1",1326,13,21,21,6,1,0,9.8,15.84,15.84,4.52,0.75,0
"Ctcf",2211,16,36,33,17,2,3,7.24,16.28,14.93,7.69,0.9,1.36
"Ctdsp2",813,6,11,15,5,0,1,7.38,13.53,18.45,6.15,0,1.23
"Ctnnbip1",246,0,5,5,2,0,1,0,20.33,20.33,8.13,0,4.07
"Ctps",1776,16,34,32,12,2,1,9.01,19.14,18.02,6.76,1.13,0.56
"Ctsb",1020,17,21,18,7,1,0,16.67,20.59,17.65,6.86,0.98,0
"Ctsf",1389,19,31,27,10,4,1,13.68,22.32,19.44,7.2,2.88,0.72
"Ctsl",1005,9,22,17,6,0,0,8.96,21.89,16.92,5.97,0,0
"Cttn",1641,7,38,41,20,9,2,4.27,23.16,24.98,12.19,5.48,1.22
"Ctxn1",249,1,4,7,3,0,0,4.02,16.06,28.11,12.05,0,0
"Cuedc2",855,7,24,14,4,1,1,8.19,28.07,16.37,4.68,1.17,1.17
"Cul1",2331,23,37,32,20,1,1,9.87,15.87,13.73,8.58,0.43,0.43
"Cul2",2238,18,30,26,14,2,1,8.04,13.4,11.62,6.26,0.89,0.45
"Cul3",2307,17,36,27,10,0,1,7.37,15.6,11.7,4.33,0,0.43
"Cul4a",2280,17,50,51,30,5,2,7.46,21.93,22.37,13.16,2.19,0.88
"Cul9",7593,63,131,121,46,6,3,8.3,17.25,15.94,6.06,0.79,0.4
"Cux1",4554,34,60,72,30,1,2,7.47,13.18,15.81,6.59,0.22,0.44
"Cux2",4281,25,61,75,41,2,2,5.84,14.25,17.52,9.58,0.47,0.47
"Cx3cl1",1188,10,18,22,12,2,0,8.42,15.15,18.52,10.1,1.68,0
"Cxcl14",300,2,5,2,2,0,0,6.67,16.67,6.67,6.67,0,0
"Cxx1a",342,1,7,10,7,2,1,2.92,20.47,29.24,20.47,5.85,2.92
"Cxx1b",342,1,7,10,7,2,1,2.92,20.47,29.24,20.47,5.85,2.92
"Cxxc5",954,5,9,14,8,1,1,5.24,9.43,14.68,8.39,1.05,1.05
"Cyb561",753,7,6,8,2,0,0,9.3,7.97,10.62,2.66,0,0
"Cyb5r4",1587,11,27,21,9,0,1,6.93,17.01,13.23,5.67,0,0.63
"Cyfip1",3762,35,65,61,29,4,2,9.3,17.28,16.21,7.71,1.06,0.53
"Cyfip2",3762,26,63,68,31,4,3,6.91,16.75,18.08,8.24,1.06,0.8
"Cyhr1",1239,8,19,14,9,3,1,6.46,15.33,11.3,7.26,2.42,0.81
"Cyld",2868,34,57,46,21,0,4,11.85,19.87,16.04,7.32,0,1.39
"Cyld.1",2868,34,57,46,21,0,4,11.85,19.87,16.04,7.32,0,1.39
"Cyp46a1",1503,12,29,28,12,0,1,7.98,19.29,18.63,7.98,0,0.67
"Cyp51",1512,18,25,26,11,2,2,11.9,16.53,17.2,7.28,1.32,1.32
"Cyth2",1233,7,29,19,10,2,1,5.68,23.52,15.41,8.11,1.62,0.81
"Cyth3",1200,10,28,27,12,2,1,8.33,23.33,22.5,10,1.67,0.83
"D17Wsu92e",888,12,18,18,8,1,2,13.51,20.27,20.27,9.01,1.13,2.25
"D1Ertd622e",624,3,10,11,4,1,0,4.81,16.03,17.63,6.41,1.6,0
"D430019H16Rik",252,2,6,3,1,0,0,7.94,23.81,11.9,3.97,0,0
"D430041D05Rik",5037,45,64,90,54,6,3,8.93,12.71,17.87,10.72,1.19,0.6
"D630045J12Rik",5823,54,56,84,36,5,2,9.27,9.62,14.43,6.18,0.86,0.34
"Dact2",2274,15,33,35,13,2,2,6.6,14.51,15.39,5.72,0.88,0.88
"Dact3",1833,5,21,32,19,0,1,2.73,11.46,17.46,10.37,0,0.55
"Dag1",2682,17,32,47,22,4,0,6.34,11.93,17.52,8.2,1.49,0
"Dagla",3135,21,46,56,21,4,1,6.7,14.67,17.86,6.7,1.28,0.32
"Daglb",2010,22,38,44,17,3,2,10.95,18.91,21.89,8.46,1.49,1
"Dapk1",4293,33,86,84,43,5,1,7.69,20.03,19.57,10.02,1.16,0.23
"Dbn1",2121,9,56,25,10,0,3,4.24,26.4,11.79,4.71,0,1.41
"Dbnl",1311,6,37,21,13,4,2,4.58,28.22,16.02,9.92,3.05,1.53
"Dbp",978,5,22,16,8,1,1,5.11,22.49,16.36,8.18,1.02,1.02
"Dcaf11",1650,16,26,31,15,0,1,9.7,15.76,18.79,9.09,0,0.61
"Dcaf12",1362,10,23,20,9,1,1,7.34,16.89,14.68,6.61,0.73,0.73
"Dcaf5",2841,15,54,53,25,1,3,5.28,19.01,18.66,8.8,0.35,1.06
"Dcaf6",2631,33,44,40,24,2,2,12.54,16.72,15.2,9.12,0.76,0.76
"Dcaf8",1776,12,22,39,22,4,1,6.76,12.39,21.96,12.39,2.25,0.56
"Dcbld2",2310,29,46,28,13,2,0,12.55,19.91,12.12,5.63,0.87,0
"Dclk2",2271,23,33,31,12,1,1,10.13,14.53,13.65,5.28,0.44,0.44
"Dctn2",1209,12,27,29,16,4,1,9.93,22.33,23.99,13.23,3.31,0.83
"Dctn3",561,1,11,7,2,0,1,1.78,19.61,12.48,3.57,0,1.78
"Dctn4",1383,10,19,22,6,1,0,7.23,13.74,15.91,4.34,0.72,0
"Dctn5",549,8,7,10,4,0,0,14.57,12.75,18.21,7.29,0,0
"Dcun1d2",780,7,21,15,6,1,0,8.97,26.92,19.23,7.69,1.28,0
"Ddhd1",2757,17,47,51,25,3,2,6.17,17.05,18.5,9.07,1.09,0.73
"Ddn",2133,4,29,39,19,1,2,1.88,13.6,18.28,8.91,0.47,0.94
"Ddost",1326,4,21,22,9,1,2,3.02,15.84,16.59,6.79,0.75,1.51
"Ddr1",2736,17,46,43,13,2,1,6.21,16.81,15.72,4.75,0.73,0.37
"Ddx23",2460,11,70,40,18,6,2,4.47,28.46,16.26,7.32,2.44,0.81
"Ddx24",2712,19,51,45,21,1,3,7.01,18.81,16.59,7.74,0.37,1.11
"Ddx25",1455,11,20,22,9,0,0,7.56,13.75,15.12,6.19,0,0
"Ddx6",1452,13,22,12,6,1,1,8.95,15.15,8.26,4.13,0.69,0.69
"Deaf1",1728,14,25,28,14,0,2,8.1,14.47,16.2,8.1,0,1.16
"Dennd4a",5610,63,78,87,44,7,1,11.23,13.9,15.51,7.84,1.25,0.18
"Dennd5a",3864,41,72,63,28,3,3,10.61,18.63,16.3,7.25,0.78,0.78
"Dennd5b",3825,37,50,62,27,0,0,9.67,13.07,16.21,7.06,0,0
"Depdc5",4776,45,82,81,29,4,3,9.42,17.17,16.96,6.07,0.84,0.63
"Derl1",756,12,16,10,3,0,2,15.87,21.16,13.23,3.97,0,2.65
"Dgat2",1167,15,14,16,6,0,1,12.85,12,13.71,5.14,0,0.86
"Dgkb",2388,18,48,38,17,2,1,7.54,20.1,15.91,7.12,0.84,0.42
"Dgkg",2367,16,48,43,14,3,1,6.76,20.28,18.17,5.91,1.27,0.42
"Dgki",3216,25,63,60,20,3,2,7.77,19.59,18.66,6.22,0.93,0.62
"Dgkz",3372,30,61,56,26,3,3,8.9,18.09,16.61,7.71,0.89,0.89
"Dhcr24",1551,5,22,27,19,2,0,3.22,14.18,17.41,12.25,1.29,0
"Dhx32",2256,22,33,33,21,2,1,9.75,14.63,14.63,9.31,0.89,0.44
"Diaph1",3795,33,78,52,27,4,4,8.7,20.55,13.7,7.11,1.05,1.05
"Dido1",6771,48,117,126,59,13,4,7.09,17.28,18.61,8.71,1.92,0.59
"Dio2",801,9,8,13,2,0,0,11.24,9.99,16.23,2.5,0,0
"Dip2a",4719,43,76,85,38,5,1,9.11,16.11,18.01,8.05,1.06,0.21
"Dip2c",4674,37,75,80,42,5,2,7.92,16.05,17.12,8.99,1.07,0.43
"Diras1",597,1,10,13,10,1,0,1.68,16.75,21.78,16.75,1.68,0
"Diras2",600,1,12,9,5,1,1,1.67,20,15,8.33,1.67,1.67
"Dirc2",1437,12,15,21,13,1,1,8.35,10.44,14.61,9.05,0.7,0.7
"Disp2",4038,42,39,52,22,0,0,10.4,9.66,12.88,5.45,0,0
"Dkk3",1050,8,26,17,6,1,1,7.62,24.76,16.19,5.71,0.95,0.95
"Dlc1",4632,36,81,105,46,2,3,7.77,17.49,22.67,9.93,0.43,0.65
"Dlg1",2784,21,42,46,25,2,2,7.54,15.09,16.52,8.98,0.72,0.72
"Dlg2",2613,21,47,45,20,3,2,8.04,17.99,17.22,7.65,1.15,0.77
"Dlg4",2304,11,31,50,28,4,1,4.77,13.45,21.7,12.15,1.74,0.43
"Dlgap1",2979,14,42,51,28,1,1,4.7,14.1,17.12,9.4,0.34,0.34
"Dlgap2",3183,17,62,66,40,4,4,5.34,19.48,20.74,12.57,1.26,1.26
"Dlgap3",2934,17,54,58,27,2,1,5.79,18.4,19.77,9.2,0.68,0.34
"Dlgap4",2979,22,42,63,32,5,2,7.39,14.1,21.15,10.74,1.68,0.67
"Dmtn",1152,9,26,24,6,1,1,7.81,22.57,20.83,5.21,0.87,0.87
"Dmwd",1998,15,20,32,14,5,1,7.51,10.01,16.02,7.01,2.5,0.5
"Dmxl2",9165,100,140,128,69,8,4,10.91,15.28,13.97,7.53,0.87,0.44
"Dnaja2",1239,6,26,20,13,0,0,4.84,20.98,16.14,10.49,0,0
"Dnajb1",1023,2,21,22,11,2,0,1.96,20.53,21.51,10.75,1.96,0
"Dnajb2",975,4,13,17,7,2,1,4.1,13.33,17.44,7.18,2.05,1.03
"Dnajb5",1149,5,16,21,11,2,0,4.35,13.93,18.28,9.57,1.74,0
